,,,Nuclear engineers,10,-1,9,-1,1,-1
,,,Petroleum engineers,20,-1,19,-1,1,-1
,,,"Engineers, all other",294,1318,254,1335,41,-1
,,,Drafters,118,860,93,876,25,-1
,,,"Engineering technicians, except drafters",348,918,305,941,43,-1
,,,Surveying and mapping technicians,53,821,47,-1,6,-1
,,"Life, physical, and social science occupations",,1127,1062,622,1158,506,977
,,,Agricultural and food scientists,22,-1,16,-1,6,-1
,,,Biological scientists,96,928,50,898,46,-1
,,,Conservation scientists and foresters,21,-1,14,-1,6,-1
,,,Medical scientists,125,999,58,1227,67,952
,,,Astronomers and physicists,9,-1,7,-1,2,-1
,,,Atmospheric and space scientists,4,-1,4,-1,1,-1
,,,Chemists and materials scientists,99,1423,66,1424,33,-1
,,,Environmental scientists and geoscientists,94,1209,69,1269,25,-1
,,,"Physical scientists, all other",122,1077,76,1238,46,-1
,,,Economists,27,-1,21,-1,6,-1
,,,Market and survey researchers,118,1162,50,1414,68,1009
,,,Psychologists,92,1122,33,-1,59,1041
,,,Sociologists,4,-1,-, -,4,-1
,,,Urban and regional planners,18,-1,10,-1,8,-1
,,,Miscellaneous social scientists and related workers,37,-1,18,-1,19,-1
,,,Agricultural and food science technicians,22,-1,14,-1,8,-1
,,,Biological technicians,18,-1,8,-1,10,-1
,,,Chemical technicians,57,890,37,-1,20,-1
,,,Geological and petroleum technicians,23,-1,17,-1,6,-1
,,,Nuclear technicians,1,-1,1,-1,  -,   -   
,,,"Other life, physical, and social science technicians",119,786,53,857,67,721
,,Community and social services occupations,,1909,802,702,864,1208,774
,,,Counselors,517,808,154,780,363,818
,,,Social workers,701,799,144,865,557,788
,,,Miscellaneous community and social service specialists,249,740,75,826,174,727
,,,Clergy,356,905,304,920,52,757
,,,"Directors, religious activities and education",37,-1,5,-1,32,-1
,,,"Religious workers, all other",50,688,20,-1,30,-1
,,Legal occupations,,1248,1213,581,1674,667,974
,,,Lawyers,668,1757,435,1895,234,1461
,,,"Judges, magistrates, and other judicial workers",66,1444,45,-1,22,-1
,,,Paralegals and legal assistants,307,836,46,-1,261,815
,,,Miscellaneous legal support workers,207,762,55,935,151,715
,,"Education, training, and library occupations",,6535,913,1826,1065,4708,862
,,,Postsecondary teachers,901,1166,518,1308,383,1011
,,,Preschool and kindergarten teachers,540,621,16,-1,524,621
,,,Elementary and middle school teachers,2408,946,461,1024,1947,931
,,,Secondary school teachers,1116,987,504,1035,612,962
,,,Special education teachers,327,965,54,993,274,960
,,,Other teachers and instructors,350,789,154,927,196,714
,,,"Archivists, curators, and museum technicians",42,-1,19,-1,23,-1
,,,Librarians,157,863,32,-1,125,841
,,,Library technicians,15,-1,5,-1,10,-1
,,,Teacher assistants,597,489,47,-1,550,485
,,,"Other education, training, and library workers",81,956,17,-1,64,943
,,"Arts, design, entertainment, sports, and media occupations",,1431,920,822,977,610,834
,,,Artists and related workers,66,1064,47,-1,19,-1
,,,Designers,462,890,240,1001,222,757
,,,Actors,8,-1,4,-1,4,-1
,,,Producers and directors,89,1120,52,1121,37,-1
,,,"Athletes, coaches, umpires, and related workers",109,812,83,929,26,-1
,,,Dancers and choreographers,6,-1,1,-1,5,-1
,,,"Musicians, singers, and related workers",31,-1,23,-1,8,-1
,,,"Entertainers and performers, sports and related workers, all other",8,-1,6,-1,2,-1
,,,Announcers,32,-1,27,-1,6,-1
,,,"News analysts, reporters and correspondents",67,840,41,-1,26,-1
,,,Public relations specialists,125,1126,52,1253,73,1034
,,,Editors,115,945,58,968,57,855
,,,Technical writers,45,-1,23,-1,22,-1
,,,Writers and authors,77,987,33,-1,43,-1
,,,Miscellaneous media and communication workers,51,679,16,-1,35,-1
,,,Broadcast and sound engineering technicians and radio operators,64,848,58,842,6,-1
,,,Photographers,45,-1,30,-1,15,-1
,,,"Television, video, and motion picture camera operators and editors",28,-1,25,-1,3,-1
,,,"Media and communication equipment workers, all other",2,-1,2,-1,  -,   -   
,,Healthcare practitioner and technical occupations,,5678,986,1437,1233,4241,933
,,,Chiropractors,7,-1,4,-1,3,-1
,,,Dentists,41,-1,21,-1,20,-1
,,,Dietitians and nutritionists,81,885,5,-1,75,876
,,,Optometrists,17,-1,10,-1,7,-1
,,,Pharmacists,185,1880,97,1930,88,1605
,,,Physicians and surgeons,605,1975,416,2278,189,1618
,,,Physician assistants,88,1312,29,-1,59,1129
,,,Podiatrists,3,-1,2,-1,1,-1
,,,Registered nurses,2177,1055,207,1201,1970,1039
,,,Audiologists,17,-1,3,-1,13,-1
,,,Occupational therapists,65,1059,9,-1,57,1094
,,,Physical therapists,113,1304,43,-1,70,1208
,,,Radiation therapists,15,-1,5,-1,10,-1
,,,Recreational therapists,7,-1,2,-1,5,-1
,,,Respiratory therapists,111,1000,41,-1,70,996
,,,Speech-language pathologists,91,1207,3,-1,88,1184
,,,"Therapists, all other",96,878,24,-1,72,846
,,,Veterinarians,46,-1,22,-1,23,-1
,,,"Health diagnosing and treating practitioners, all other",2,-1,1,-1,1,-1
,,,Clinical laboratory technologists and technicians,280,880,69,997,211,836
,,,Dental hygienists,53,897,2,-1,50,898
,,,Diagnostic related technologists and technicians,278,980,87,1038,192,956
,,,Emergency medical technicians and paramedics,159,732,106,825,53,597
,,,Health diagnosing and treating practitioner support technicians,360,613,89,639,271,606
,,,Licensed practical and licensed vocational nurses,453,718,39,-1,413,716
,,,Medical records and health information technicians,97,590,12,-1,85,572
,,,"Opticians, dispensing",48,-1,23,-1,25,-1
,,,Miscellaneous health technologists and technicians,128,645,36,-1,92,627
,,,Other healthcare practitioners and technical occupations,57,1078,30,-1,26,-1
Service occupations,,,,14424,479,7294,543,7129,423
,Healthcare support occupations,,,2219,471,270,515,1949,465
,,"Nursing, psychiatric, and home health aides",,1329,434,173,488,1156,427
,,Occupational therapist assistants and aides,,8,-1,2,-1,6,-1
,,Physical therapist assistants and aides,,61,622,22,-1,39,-1
,,Massage therapists,,31,-1,9,-1,22,-1
,,Dental assistants,,181,580,3,-1,178,577
,,Medical assistants and other healthcare support occupations,,609,502,61,518,548,500
,Protective service occupations,,,2872,747,2304,800,568,606
,,First-line supervisors/managers of correctional officers,,44,-1,31,-1,13,-1
,,First-line supervisors/managers of police and detectives,,103,1116,86,1137,17,-1
,,First-line supervisors/managers of fire fighting and prevention workers,,43,-1,42,-1,1,-1
,,"Supervisors, protective service workers, all other",,95,782,69,828,26,-1
,,Fire fighters,,280,1044,268,1055,12,-1
,,Fire inspectors,,16,-1,15,-1,1,-1
,,"Bailiffs, correctional officers, and jailers",,445,685,333,724,113,625
,,Detectives and criminal investigators,,155,1161,116,1261,38,-1
,,Fish and game wardens,,4,-1,4,-1,  -,   -   
,,Parking enforcement workers,,11,-1,7,-1,4,-1
,,Police and sheriff's patrol officers,,704,961,608,992,96,772
,,Transit and railroad police,,4,-1,3,-1,1,-1
,,Animal control workers,,6,-1,3,-1,3,-1
,,Private detectives and investigators,,65,791,42,-1,23,-1
,,Security guards and gaming surveillance officers,,835,507,648,519,187,463
,,Crossing guards,,17,-1,8,-1,8,-1
,,Lifeguards and other protective service workers,,45,-1,20,-1,26,-1
,Food preparation and serving related occupations,,,3823,406,1998,423,1825,387
,,Chefs and head cooks,,275,602,237,618,38,-1
,,First-line supervisors/managers of food preparation and serving workers,,446,473,198,512,248,436
,,Cooks,,1173,393,731,401,442,381
,,Food preparation workers,,296,381,153,390,143,367
,,Bartenders,,199,484,98,533,101,405
,,"Combined food preparation and serving workers, including fast food",,141,369,56,346,85,388
,,"Counter attendants, cafeteria, food concession, and coffee shop",,80,306,23,-1,57,309
,,Waiters and waitresses,,824,401,287,450,538,381
,,"Food servers, nonrestaurant",,85,405,36,-1,48,-1
,,Dining room and cafeteria attendants and bartender helpers,,148,362,80,396,68,343
,,Dishwashers,,106,339,84,327,22,-1
,,"Hosts and hostesses, restaurant, lounge, and coffee shop",,47,-1,12,-1,35,-1
,,"Food preparation and serving related workers, all other",,4,-1,3,-1,1,-1
,Building and grounds cleaning and maintenance occupations,,,3310,446,2146,493,1163,391
,,First-line supervisors/managers of housekeeping and janitorial workers,,164,621,103,700,62,478
,,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",,104,732,97,743,8,-1
,,Janitors and building cleaners,,1536,463,1099,494,437,400
,,Maids and housekeeping cleaners,,745,387,119,455,627,376
,,Pest control workers,,58,655,57,647,1,-1
,,Grounds maintenance workers,,701,433,671,433,30,-1
,Personal care and service occupations,,,2199,455,576,519,1624,432
,,First-line supervisors/managers of gaming workers,,87,697,43,-1,45,-1
,,First-line supervisors/managers of personal service workers,,58,510,21,-1,37,-1
,,Animal trainers,,9,-1,2,-1,7,-1
,,Nonfarm animal caretakers,,78,455,28,-1,50,458
,,Gaming services workers,,86,679,49,-1,37,-1
,,Motion picture projectionists,,7,-1,6,-1,1,-1
,,"Ushers, lobby attendants, and ticket takers",,16,-1,10,-1,6,-1
,,Miscellaneous entertainment attendants and related workers,,83,369,45,-1,38,-1
,,Funeral service workers,,8,-1,6,-1,2,-1
,,Barbers,,31,-1,28,-1,3,-1
,,"Hairdressers, hairstylists, and cosmetologists",,291,468,31,-1,260,462
,,Miscellaneous personal appearance workers,,146,430,21,-1,124,420
,,"Baggage porters, bellhops, and concierges",,62,538,52,564,10,-1
,,Tour and travel guides,,10,-1,3,-1,7,-1
,,Transportation attendants,,71,729,21,-1,50,613
,,Child care workers,,388,400,27,-1,361,398
,,Personal and home care aides,,499,406,79,414,420,405
,,Recreation and fitness workers,,192,492,71,541,121,470
,,Residential advisors,,47,-1,16,-1,31,-1
,,"Personal care and service workers, all other",,32,-1,18,-1,15,-1
Sales and office occupations,,,,23060,631,8840,736,14220,597
,Sales and related occupations,,,9121,666,5058,805,4063,516
,,First-line supervisors/managers of retail sales workers,,2142,676,1168,782,975,578
,,First-line supervisors/managers of non-retail sales workers,,740,960,512,1035,228,801
,,Cashiers,,1298,376,370,400,928,366
,,Counter and rental clerks,,87,524,47,-1,41,-1
,,Parts salespersons,,108,623,93,676,15,-1
,,Retail salespersons,,1745,527,1011,651,734,421
,,Advertising sales agents,,192,861,105,897,87,838
,,Insurance sales agents,,342,741,158,973,184,649
,,"Securities, commodities, and financial services sales agents",,263,1185,174,1423,89,892
,,Travel agents,,50,612,11,-1,39,-1
,,"Sales representatives, services, all other",,403,899,272,1009,130,748
,,"Sales representatives, wholesale and manufacturing",,1063,958,808,983,255,842
,,"Models, demonstrators, and product promoters",,16,-1,3,-1,13,-1
,,Real estate brokers and sales agents,,361,820,174,978,187,683
,,Sales engineers,,22,-1,19,-1,3,-1
,,Telemarketers,,63,481,23,-1,40,-1
,,"Door-to-door sales workers, news and street vendors, and related workers ",,32,-1,23,-1,9,-1
,,"Sales and related workers, all other",,193,837,86,892,107,808
,Office and administrative support occupations,,,13939,619,3782,656,10158,612
,,First-line supervisors/managers of office and administrative support workers,,1329,761,440,890,889,726
,,"Switchboard operators, including answering service",,25,-1,2,-1,23,-1
,,Telephone operators,,24,-1,4,-1,20,-1
,,"Communications equipment operators, all other",,4,-1,2,-1,2,-1
,,Bill and account collectors,,201,612,79,579,122,634
,,Billing and posting clerks and machine operators,,381,606,34,-1,348,607
,,"Bookkeeping, accounting, and auditing clerks",,842,630,89,677,752,628
,,Gaming cage workers,,5,-1,1,-1,4,-1
,,Payroll and timekeeping clerks,,152,663,18,-1,133,672
,,Procurement clerks,,21,-1,12,-1,10,-1
,,Tellers,,332,487,35,-1,297,490
,,Brokerage clerks,,7,-1,4,-1,3,-1
,,Correspondence clerks,,11,-1,2,-1,10,-1
,,"Court, municipal, and license clerks",,82,674,17,-1,66,661
,,"Credit authorizers, checkers, and clerks",,41,-1,11,-1,30,-1
,,Customer service representatives,,1526,596,515,614,1010,586
,,"Eligibility interviewers, government programs",,85,725,13,-1,72,722
,,File clerks,,240,577,46,-1,194,583
,,"Hotel, motel, and resort desk clerks",,82,437,24,-1,59,415
,,"Interviewers, except eligibility and loan",,121,590,26,-1,95,587
,,"Library assistants, clerical",,38,-1,7,-1,30,-1
,,Loan interviewers and clerks,,126,674,29,-1,97,650
,,New accounts clerks,,31,-1,5,-1,26,-1
,,Order clerks,,89,612,37,-1,53,613
,,"Human resources assistants, except payroll and timekeeping",,38,-1,5,-1,34,-1
,,Receptionists and information clerks,,881,530,66,547,815,529
,,Reservation and transportation ticket agents and travel clerks,,85,661,33,-1,52,644
,,"Information and record clerks, all other",,106,601,11,-1,95,596
,,Cargo and freight agents,,16,-1,7,-1,9,-1
,,Couriers and messengers,,180,715,153,755,26,-1
,,Dispatchers,,257,664,99,721,159,624
,,"Meter readers, utilities",,34,-1,31,-1,3,-1
,,Postal service clerks,,115,915,66,933,50,882
,,Postal service mail carriers,,283,936,189,952,94,897
,,"Postal service mail sorters, processors, and processing machine operators",,65,957,37,-1,27,-1
,,"Production, planning, and expediting clerks",,249,754,113,855,136,695
,,"Shipping, receiving, and traffic clerks",,480,542,350,553,130,518
,,Stock clerks and order fillers,,943,482,615,471,327,495
,,"Weighers, measurers, checkers, and samplers, recordkeeping",,59,607,35,-1,24,-1
,,Secretaries and administrative assistants,,2399,659,102,725,2297,657
,,Computer operators,,104,751,50,866,54,654
,,Data entry keyers,,293,591,60,610,232,585
,,Word processors and typists,,114,634,11,-1,103,627
,,Desktop publishers,,3,-1,-, -,3,-1
,,Insurance claims and policy processing clerks,,208,629,35,-1,173,626
,,"Mail clerks and mail machine operators, except postal service",,72,507,36,-1,36,-1
,,"Office clerks, general",,705,600,110,632,595,597
,,"Office machine operators, except computer",,33,-1,14,-1,19,-1
,,Proofreaders and copy markers,,6,-1,3,-1,4,-1
,,Statistical assistants,,15,-1,7,-1,8,-1
,,"Office and administrative support workers, all other",,399,659,90,750,309,632
"Natural resources, construction, and maintenance occupations",,,,9869,719,9464,726,406,537
,"Farming, fishing, and forestry occupations",,,729,416,577,438,151,369
,,"First-line supervisors/managers of farming, fishing, and forestry workers",,31,-1,26,-1,4,-1
,,Agricultural inspectors,,25,-1,15,-1,11,-1
,,Animal breeders,,2,-1,2,-1,  -,   -   
,,"Graders and sorters, agricultural products",,84,399,31,-1,54,381
,,Miscellaneous agricultural workers,,528,400,447,415,81,349
,,Fishers and related fishing workers,,11,-1,11,-1,  -,   -   
,,Hunters and trappers,,2,-1,2,-1,  -,   -   
,,Forest and conservation workers,,5,-1,4,-1,1,-1
,,Logging workers,,40,-1,39,-1,1,-1
,Construction and extraction occupations,,,5020,709,4918,710,102,646
,,First-line supervisors/managers of construction trades and extraction workers,,494,955,477,960,18,-1
,,Boilermakers,,25,-1,23,-1,1,-1
,,"Brickmasons, blockmasons, and stonemasons",,106,701,106,701,  -,   -   
,,Carpenters,,669,623,659,624,10,-1
,,"Carpet, floor, and tile installers and finishers",,115,536,115,536,  -,   -   
,,"Cement masons, concrete finishers, and terrazzo workers",,63,556,63,556,  -,   -   
,,Construction laborers,,877,568,858,569,19,-1
,,"Paving, surfacing, and tamping equipment operators",,16,-1,16,-1,  -,   -   
,,Pile-driver operators,,2,-1,2,-1,  -,   -   
,,Operating engineers and other construction equipment operators,,328,859,325,864,4,-1
,,"Drywall installers, ceiling tile installers, and tapers",,118,507,117,509,1,-1
,,Electricians,,560,888,552,890,8,-1
,,Glaziers,,35,-1,35,-1,1,-1
,,Insulation workers,,28,-1,28,-1,  -,   -   
,,"Painters, construction and maintenance",,299,521,286,520,13,-1
,,Paperhangers,,1,-1,1,-1,  -,   -   
,,"Pipelayers, plumbers, pipefitters, and steamfitters",,396,796,389,793,6,-1
,,Plasterers and stucco masons,,29,-1,29,-1,  -,   -   
,,Reinforcing iron and rebar workers,,2,-1,2,-1,  -,   -   
,,Roofers,,146,521,146,521,  -,   -   
,,Sheet metal workers,,89,751,85,733,4,-1
,,Structural iron and steel workers,,51,767,51,767,  -,   -   
,,"Helpers, construction trades",,42,-1,41,-1,1,-1
,,Construction and building inspectors,,85,949,79,949,6,-1
,,Elevator installers and repairers,,32,-1,32,-1,  -,   -   
,,Fence erectors,,30,-1,30,-1,  -,   -   
,,Hazardous materials removal workers,,35,-1,32,-1,3,-1
,,Highway maintenance workers,,102,715,99,729,3,-1
,,Rail-track laying and maintenance equipment operators,,12,-1,12,-1,  -,   -   
,,Septic tank servicers and sewer pipe cleaners,,12,-1,12,-1,  -,   -   
,,Miscellaneous construction and related workers,,30,-1,29,-1,2,-1
,,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",,38,-1,37,-1,1,-1
,,"Earth drillers, except oil and gas",,18,-1,18,-1,  -,   -   
,,"Explosives workers, ordnance handling experts, and blasters",,9,-1,9,-1,  -,   -   
,,Mining machine operators,,60,996,58,995,2,-1
,,"Roof bolters, mining",,4,-1,4,-1,  -,   -   
,,"Roustabouts, oil and gas",,10,-1,10,-1,  -,   -   
,,Helpers-extraction workers,,6,-1,6,-1,  -,   -   
,,Other extraction workers,,48,-1,48,-1,1,-1
,"Installation, maintenance, and repair occupations",,,4120,794,3968,799,152,683
,,"First-line supervisors/managers of mechanics, installers, and repairers",,365,964,339,979,26,-1
,,"Computer, automated teller, and office machine repairers",,231,804,208,814,23,-1
,,Radio and telecommunications equipment installers and repairers,,155,916,139,942,16,-1
,,Avionics technicians,,18,-1,16,-1,2,-1
,,"Electric motor, power tool, and related repairers",,25,-1,24,-1,  -,   -   
,,"Electrical and electronics installers and repairers, transportation equipment",,4,-1,4,-1,  -,   -   
,,"Electrical and electronics repairers, industrial and utility",,18,-1,18,-1,  -,   -   
,,"Electronic equipment installers and repairers, motor vehicles",,10,-1,10,-1,  -,   -   
,,Electronic home entertainment equipment installers and repairers,,39,-1,39,-1,  -,   -   
,,Security and fire alarm systems installers,,50,904,49,-1,1,-1
,,Aircraft mechanics and service technicians,,129,980,126,986,4,-1
,,Automotive body and related repairers,,126,682,126,683,1,-1
,,Automotive glass installers and repairers,,17,-1,17,-1,  -,   -   
,,Automotive service technicians and mechanics,,595,675,585,680,11,-1
,,Bus and truck mechanics and diesel engine specialists,,300,767,298,768,1,-1
,,Heavy vehicle and mobile equipment service technicians and mechanics,,216,879,213,879,3,-1
,,Small engine mechanics,,41,-1,40,-1,1,-1
,,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",,78,521,78,521,  -,   -   
,,Control and valve installers and repairers,,22,-1,22,-1,  -,   -   
,,"Heating, air conditioning, and refrigeration mechanics and installers",,311,824,308,826,3,-1
,,Home appliance repairers,,33,-1,32,-1,1,-1
,,Industrial and refractory machinery mechanics,,417,858,403,866,14,-1
,,"Maintenance and repair workers, general",,300,693,291,692,9,-1
,,"Maintenance workers, machinery",,28,-1,27,-1,1,-1
,,Millwrights,,43,-1,41,-1,2,-1
,,Electrical power-line installers and repairers,,118,1087,117,1085,1,-1
,,Telecommunications line installers and repairers,,150,863,137,873,12,-1
,,Precision instrument and equipment repairers,,53,914,45,-1,8,-1
,,"Coin, vending, and amusement machine servicers and repairers",,28,-1,27,-1,1,-1
,,Locksmiths and safe repairers,,15,-1,15,-1,  -,   -   
,,Manufactured building and mobile home installers,,7,-1,7,-1,  -,   -   
,,Riggers,,8,-1,7,-1,1,-1
,,Signal and track switch repairers,,6,-1,6,-1,  -,   -   
,,"Helpers-installation, maintenance, and repair workers",,22,-1,18,-1,4,-1
,,"Other installation, maintenance, and repair workers",,142,664,136,671,6,-1
"Production, transportation, and material moving occupations",,,,13034,599,10453,640,2581,473
,Production occupations,,,6861,599,5085,664,1776,481
,,First-line supervisors/managers of production and operating workers,,657,800,552,846,104,602
,,"Aircraft structure, surfaces, rigging, and systems assemblers",,27,-1,20,-1,6,-1
,,"Electrical, electronics, and electromechanical assemblers",,130,507,58,622,72,481
,,Engine and other machine assemblers,,30,-1,23,-1,8,-1
,,Structural metal fabricators and fitters,,23,-1,21,-1,2,-1
,,Miscellaneous assemblers and fabricators,,713,519,449,581,264,475
,,Bakers,,147,416,74,435,72,406
,,"Butchers and other meat, poultry, and fish processing workers",,281,498,217,508,64,478
,,"Food and tobacco roasting, baking, and drying machine operators and tenders",,10,-1,7,-1,2,-1
,,Food batchmakers,,78,510,43,-1,35,-1
,,Food cooking machine operators and tenders,,7,-1,5,-1,3,-1
,,Computer control programmers and operators,,57,824,54,834,3,-1
,,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",,8,-1,5,-1,3,-1
,,"Forging machine setters, operators, and tenders, metal and plastic",,8,-1,7,-1,1,-1
,,"Rolling machine setters, operators, and tenders, metal and plastic",,9,-1,7,-1,2,-1
,,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",,74,574,58,637,15,-1
,,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",,1,-1,1,-1,  -,   -   
,,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",,49,-1,45,-1,4,-1
,,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",,18,-1,15,-1,3,-1
,,"Milling and planning machine setters, operators, tenders, metal and plastic",,5,-1,4,-1,2,-1
,,Machinists,,355,794,345,802,10,-1
,,Metal furnace and kiln operators and tenders,,20,-1,20,-1,  -,   -   
,,"Model makers and patternmakers, metal and plastic",,9,-1,8,-1,1,-1
,,"Molders and molding machine setters, operators, and tenders, metal and plastic",,45,-1,36,-1,9,-1
,,"Multiple machine tool setters, operators, and tenders, metal and plastic ",,7,-1,6,-1,1,-1
,,Tool and die makers,,62,921,62,922,  -,   -   
,,"Welding, soldering, and brazing workers",,416,648,391,661,24,-1
,,"Heat treating equipment setters, operators, and tenders, metal and plastic",,5,-1,5,-1,  -,   -   
,,"Lay-out workers, metal and plastic",,8,-1,7,-1,1,-1
,,"Plating and coating machine setters, operators, and tenders, metal and plastic",,16,-1,15,-1,1,-1
,,"Tool grinders, filers, and sharpeners",,7,-1,7,-1,  -,   -   
,,"Metalworkers and plastic workers, all other",,302,599,237,629,64,496
,,Bookbinders and bindery workers,,15,-1,7,-1,9,-1
,,Job printers,,48,-1,40,-1,8,-1
,,Prepress technicians and workers,,36,-1,19,-1,16,-1
,,Printing machine operators,,137,625,108,657,29,-1
,,Laundry and dry-cleaning workers,,115,371,47,-1,68,361
,,"Pressers, textile, garment, and related materials",,37,-1,14,-1,24,-1
,,Sewing machine operators,,125,429,33,-1,92,410
,,Shoe and leather workers and repairers,,4,-1,3,-1,1,-1
,,Shoe machine operators and tenders,,6,-1,2,-1,4,-1
,,"Tailors, dressmakers, and sewers",,33,-1,13,-1,20,-1
,,Textile bleaching and dyeing machine operators and tenders,,5,-1,4,-1,1,-1
,,"Textile cutting machine setters, operators, and tenders",,5,-1,1,-1,4,-1
,,"Textile knitting and weaving machine setters, operators, and tenders",,9,-1,5,-1,5,-1
,,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",,12,-1,3,-1,9,-1
,,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",,1,-1,-, -,1,-1
,,Fabric and apparel patternmakers,,2,-1,1,-1,1,-1
