Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
Drafters,drafters,architecture-and-engineering-occupations,124,941,102,"1,052",23,-,2011
"Engineering technicians, except drafters",engineering-technicians-except-drafters,architecture-and-engineering-occupations,341,954,301,952,40,-,2011
Surveying and mapping technicians,surveying-and-mapping-technicians,architecture-and-engineering-occupations,53,777,47,-,6,-,2011
"Life, physical, and social science occupations",life-physical-and-social-science-occupations,professional-and-related-occupations,"1,043","1,108",565,"1,156",479,"1,038",2011
Agricultural and food scientists,agricultural-and-food-scientists,life-physical-and-social-science-occupations,27,-,17,-,10,-,2011
Biological scientists,biological-scientists,life-physical-and-social-science-occupations,103,"1,031",53,"1,177",50,853,2011
Conservation scientists and foresters,conservation-scientists-and-foresters,life-physical-and-social-science-occupations,22,-,18,-,4,-,2011
Medical scientists,medical-scientists,life-physical-and-social-science-occupations,141,"1,109",64,"1,102",78,"1,127",2011
Astronomers and physicists,astronomers-and-physicists,life-physical-and-social-science-occupations,18,-,15,-,4,-,2011
Atmospheric and space scientists,atmospheric-and-space-scientists,life-physical-and-social-science-occupations,7,-,6,-,1,-,2011
Chemists and materials scientists,chemists-and-materials-scientists,life-physical-and-social-science-occupations,83,"1,169",45,-,38,-,2011
Environmental scientists and geoscientists,environmental-scientists-and-geoscientists,life-physical-and-social-science-occupations,86,"1,383",61,"1,408",25,-,2011
"Physical scientists, all other",physical-scientists-all-other,life-physical-and-social-science-occupations,133,"1,383",82,"1,483",51,"1,167",2011
Economists,economists,life-physical-and-social-science-occupations,20,-,12,-,8,-,2011
Survey researchers,survey-researchers,life-physical-and-social-science-occupations,1,-,0,-,0,-,2011
Psychologists,psychologists,life-physical-and-social-science-occupations,104,"1,229",31,-,74,"1,244",2011
Sociologists,sociologists,life-physical-and-social-science-occupations,2,-,0,-,2,-,2011
Urban and regional planners,urban-and-regional-planners,life-physical-and-social-science-occupations,19,-,10,-,9,-,2011
Miscellaneous social scientists and related workers,miscellaneous-social-scientists-and-related-workers,life-physical-and-social-science-occupations,48,-,19,-,29,-,2011
Agricultural and food science technicians,agricultural-and-food-science-technicians,life-physical-and-social-science-occupations,13,-,7,-,6,-,2011
Biological technicians,biological-technicians,life-physical-and-social-science-occupations,19,-,10,-,9,-,2011
Chemical technicians,chemical-technicians,life-physical-and-social-science-occupations,69,788,40,-,29,-,2011
Geological and petroleum technicians,geological-and-petroleum-technicians,life-physical-and-social-science-occupations,6,-,3,-,3,-,2011
Nuclear technicians,nuclear-technicians,life-physical-and-social-science-occupations,3,-,2,-,1,-,2011
Social science research assistants,social-science-research-assistants,life-physical-and-social-science-occupations,1,-,1,-,0,-,2011
"Miscellaneous life, physical, and social science technicians",miscellaneous-life-physical-and-social-science-technicians,life-physical-and-social-science-occupations,118,763,69,807,49,-,2011
Community and social service occupations,community-and-social-service-occupations,professional-and-related-occupations,"1,931",813,728,906,"1,202",772,2011
Counselors,counselors,community-and-social-service-occupations,568,828,188,874,380,808,2011
Social workers,social-workers,community-and-social-service-occupations,684,817,130,902,554,798,2011
Probation officers and correctional treatment specialists,probation-officers-and-correctional-treatment-specialists,community-and-social-service-occupations,86,822,41,-,44,-,2011
Social and human service assistants,social-and-human-service-assistants,community-and-social-service-occupations,105,597,21,-,83,597,2011
"Miscellaneous community and social service specialists, including health educators and community health workers",miscellaneous-community-and-social-service-specialists-including-health-educators-and-community-health-workers,community-and-social-service-occupations,62,676,23,-,39,-,2011
Clergy,clergy,community-and-social-service-occupations,343,945,292,961,51,889,2011
"Directors, religious activities and education",directors-religious-activities-and-education,community-and-social-service-occupations,34,-,10,-,25,-,2011
"Religious workers, all other",religious-workers-all-other,community-and-social-service-occupations,50,654,24,-,26,-,2011
Legal occupations,legal-occupations,professional-and-related-occupations,"1,259","1,277",583,"1,758",676,"1,003",2011
Lawyers,lawyers,legal-occupations,704,"1,774",462,"1,884",242,"1,631",2011
Judicial law clerks,judicial-law-clerks,legal-occupations,4,-,1,-,3,-,2011
"Judges, magistrates, and other judicial workers",judges-magistrates-and-other-judicial-workers,legal-occupations,58,"1,655",32,-,26,-,2011
Paralegals and legal assistants,paralegals-and-legal-assistants,legal-occupations,338,824,52,884,286,813,2011
Miscellaneous legal support workers,miscellaneous-legal-support-workers,legal-occupations,155,815,35,-,120,788,2011
"Education, training, and library occupations",education-training-and-library-occupations,professional-and-related-occupations,"6,518",919,"1,749","1,109","4,769",869,2011
Postsecondary teachers,postsecondary-teachers,education-training-and-library-occupations,925,"1,209",526,"1,358",399,"1,093",2011
Preschool and kindergarten teachers,preschool-and-kindergarten-teachers,education-training-and-library-occupations,532,606,13,-,519,603,2011
Elementary and middle school teachers,elementary-and-middle-school-teachers,education-training-and-library-occupations,"2,436",947,463,"1,022","1,973",933,2011
Secondary school teachers,secondary-school-teachers,education-training-and-library-occupations,"1,005","1,015",431,"1,049",575,989,2011
Special education teachers,special-education-teachers,education-training-and-library-occupations,364,939,55,967,308,935,2011
Other teachers and instructors,other-teachers-and-instructors,education-training-and-library-occupations,368,858,163,"1,105",205,739,2011
"Archivists, curators, and museum technicians",archivists-curators-and-museum-technicians,education-training-and-library-occupations,38,-,12,-,26,-,2011
Librarians,librarians,education-training-and-library-occupations,139,850,21,-,118,813,2011
Library technicians,library-technicians,education-training-and-library-occupations,13,-,3,-,10,-,2011
Teacher assistants,teacher-assistants,education-training-and-library-occupations,605,480,39,-,566,471,2011
"Other education, training, and library workers",other-education-training-and-library-workers,education-training-and-library-occupations,94,982,23,-,71,979,2011
"Arts, design, entertainment, sports, and media occupations",arts-design-entertainment-sports-and-media-occupations,professional-and-related-occupations,"1,464",929,850,995,613,856,2011
Artists and related workers,artists-and-related-workers,arts-design-entertainment-sports-and-media-occupations,56,"1,115",36,-,21,-,2011
Designers,designers,arts-design-entertainment-sports-and-media-occupations,458,950,257,"1,045",201,816,2011
Actors,actors,arts-design-entertainment-sports-and-media-occupations,8,-,6,-,2,-,2011
Producers and directors,producers-and-directors,arts-design-entertainment-sports-and-media-occupations,105,"1,023",58,"1,130",47,-,2011
"Athletes, coaches, umpires, and related workers",athletes-coaches-umpires-and-related-workers,arts-design-entertainment-sports-and-media-occupations,109,825,84,919,25,-,2011
Dancers and choreographers,dancers-and-choreographers,arts-design-entertainment-sports-and-media-occupations,6,-,3,-,3,-,2011
"Musicians, singers, and related workers",musicians-singers-and-related-workers,arts-design-entertainment-sports-and-media-occupations,35,-,29,-,5,-,2011
"Entertainers and performers, sports and related workers, all other",entertainers-and-performers-sports-and-related-workers-all-other,arts-design-entertainment-sports-and-media-occupations,7,-,3,-,4,-,2011
Announcers,announcers,arts-design-entertainment-sports-and-media-occupations,32,-,24,-,9,-,2011
"News analysts, reporters and correspondents",news-analysts-reporters-and-correspondents,arts-design-entertainment-sports-and-media-occupations,62,937,44,-,18,-,2011
Public relations specialists,public-relations-specialists,arts-design-entertainment-sports-and-media-occupations,123,954,49,-,75,887,2011
Editors,editors,arts-design-entertainment-sports-and-media-occupations,132,902,58,933,74,892,2011
Technical writers,technical-writers,arts-design-entertainment-sports-and-media-occupations,46,-,20,-,26,-,2011
Writers and authors,writers-and-authors,arts-design-entertainment-sports-and-media-occupations,85,918,42,-,43,-,2011
Miscellaneous media and communication workers,miscellaneous-media-and-communication-workers,arts-design-entertainment-sports-and-media-occupations,47,-,15,-,32,-,2011
Broadcast and sound engineering technicians and radio operators,broadcast-and-sound-engineering-technicians-and-radio-operators,arts-design-entertainment-sports-and-media-occupations,79,857,73,872,6,-,2011
Photographers,photographers,arts-design-entertainment-sports-and-media-occupations,45,-,29,-,16,-,2011
"Television, video, and motion picture camera operators and editors",television-video-and-motion-picture-camera-operators-and-editors,arts-design-entertainment-sports-and-media-occupations,27,-,22,-,5,-,2011
"Media and communication equipment workers, all other",media-and-communication-equipment-workers-all-other,arts-design-entertainment-sports-and-media-occupations,2,-,1,-,1,-,2011
Healthcare practitioners and technical occupations,healthcare-practitioners-and-technical-occupations,professional-and-related-occupations,"5,725",995,"1,429","1,129","4,296",965,2011
Chiropractors,chiropractors,healthcare-practitioners-and-technical-occupations,5,-,3,-,2,-,2011
Dentists,dentists,healthcare-practitioners-and-technical-occupations,42,-,33,-,9,-,2011
Dietitians and nutritionists,dietitians-and-nutritionists,healthcare-practitioners-and-technical-occupations,69,897,6,-,64,906,2011
Optometrists,optometrists,healthcare-practitioners-and-technical-occupations,9,-,6,-,3,-,2011
Pharmacists,pharmacists,healthcare-practitioners-and-technical-occupations,195,"1,917",85,"1,998",110,"1,898",2011
Physicians and surgeons,physicians-and-surgeons,healthcare-practitioners-and-technical-occupations,573,"1,860",366,"1,935",206,"1,527",2011
Physician assistants,physician-assistants,healthcare-practitioners-and-technical-occupations,69,"1,220",24,-,44,-,2011
Podiatrists,podiatrists,healthcare-practitioners-and-technical-occupations,1,-,0,-,1,-,2011
Audiologists,audiologists,healthcare-practitioners-and-technical-occupations,14,-,4,-,10,-,2011
Occupational therapists,occupational-therapists,healthcare-practitioners-and-technical-occupations,72,"1,189",10,-,62,"1,193",2011
Physical therapists,physical-therapists,healthcare-practitioners-and-technical-occupations,146,"1,322",59,"1,522",87,"1,216",2011
Radiation therapists,radiation-therapists,healthcare-practitioners-and-technical-occupations,12,-,2,-,10,-,2011
Recreational therapists,recreational-therapists,healthcare-practitioners-and-technical-occupations,10,-,3,-,7,-,2011
Respiratory therapists,respiratory-therapists,healthcare-practitioners-and-technical-occupations,126,997,53,966,73,"1,028",2011
Speech-language pathologists,speech-language-pathologists,healthcare-practitioners-and-technical-occupations,87,"1,075",3,-,84,"1,076",2011
Exercise physiologists,exercise-physiologists,healthcare-practitioners-and-technical-occupations,2,-,1,-,1,-,2011
"Therapists, all other",therapists-all-other,healthcare-practitioners-and-technical-occupations,83,885,19,-,64,869,2011
Veterinarians,veterinarians,healthcare-practitioners-and-technical-occupations,40,-,12,-,28,-,2011
Registered nurses,registered-nurses,healthcare-practitioners-and-technical-occupations,"2,145","1,039",208,"1,081","1,937","1,034",2011
Nurse anesthetists,nurse-anesthetists,healthcare-practitioners-and-technical-occupations,26,-,16,-,10,-,2011
Nurse midwives,nurse-midwives,healthcare-practitioners-and-technical-occupations,2,-,0,-,2,-,2011
Nurse practitioners,nurse-practitioners,healthcare-practitioners-and-technical-occupations,81,"1,461",11,-,69,"1,432",2011
"Health diagnosing and treating practitioners, all other",health-diagnosing-and-treating-practitioners-all-other,healthcare-practitioners-and-technical-occupations,5,-,3,-,2,-,2011
Clinical laboratory technologists and technicians,clinical-laboratory-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,282,861,77,888,206,845,2011
Dental hygienists,dental-hygienists,healthcare-practitioners-and-technical-occupations,61,986,3,-,59,992,2011
Diagnostic related technologists and technicians,diagnostic-related-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,273,981,82,"1,054",191,964,2011
Emergency medical technicians and paramedics,emergency-medical-technicians-and-paramedics,healthcare-practitioners-and-technical-occupations,167,715,113,757,54,649,2011
Health practitioner support technologists and technicians,health-practitioner-support-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,374,644,91,682,283,632,2011
Licensed practical and licensed vocational nurses,licensed-practical-and-licensed-vocational-nurses,healthcare-practitioners-and-technical-occupations,424,722,39,-,386,720,2011
Medical records and health information technicians,medical-records-and-health-information-technicians,healthcare-practitioners-and-technical-occupations,107,588,10,-,96,574,2011
"Opticians, dispensing",opticians-dispensing,healthcare-practitioners-and-technical-occupations,34,-,8,-,26,-,2011
Miscellaneous health technologists and technicians,miscellaneous-health-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,127,744,38,-,89,711,2011
Other healthcare practitioners and technical occupations,other-healthcare-practitioners-and-technical-occupations,healthcare-practitioners-and-technical-occupations,63,870,41,-,22,-,2011
Service occupations,service-occupations,,"14,378",486,"7,387",551,"6,991",433,2011
Healthcare support occupations,healthcare-support-occupations,service-occupations,"2,190",487,290,521,"1,900",483,2011
"Nursing, psychiatric, and home health aides",nursing-psychiatric-and-home-health-aides,healthcare-support-occupations,"1,305",453,172,502,"1,134",446,2011
Occupational therapy assistants and aides,occupational-therapy-assistants-and-aides,healthcare-support-occupations,12,-,1,-,11,-,2011
Physical therapist assistants and aides,physical-therapist-assistants-and-aides,healthcare-support-occupations,54,665,22,-,32,-,2011
Massage therapists,massage-therapists,healthcare-support-occupations,34,-,6,-,28,-,2011
Dental assistants,dental-assistants,healthcare-support-occupations,191,579,7,-,184,582,2011
Medical assistants,medical-assistants,healthcare-support-occupations,314,522,21,-,293,518,2011
Medical transcriptionists,medical-transcriptionists,healthcare-support-occupations,44,-,2,-,43,-,2011
Pharmacy aides,pharmacy-aides,healthcare-support-occupations,23,-,10,-,14,-,2011
Veterinary assistants and laboratory animal caretakers,veterinary-assistants-and-laboratory-animal-caretakers,healthcare-support-occupations,20,-,7,-,13,-,2011
Phlebotomists,phlebotomists,healthcare-support-occupations,94,521,16,-,77,516,2011
"Miscellaneous healthcare support occupations, including medical equipment preparers",miscellaneous-healthcare-support-occupations-including-medical-equipment-preparers,healthcare-support-occupations,98,487,26,-,72,480,2011
Protective service occupations,protective-service-occupations,service-occupations,"2,798",757,"2,287",797,511,602,2011
First-line supervisors of correctional officers,first-line-supervisors-of-correctional-officers,protective-service-occupations,41,-,30,-,11,-,2011
First-line supervisors of police and detectives,first-line-supervisors-of-police-and-detectives,protective-service-occupations,101,"1,083",83,"1,109",18,-,2011
First-line supervisors of fire fighting and prevention workers,first-line-supervisors-of-fire-fighting-and-prevention-workers,protective-service-occupations,40,-,39,-,1,-,2011
"First-line supervisors of protective service workers, all other",first-line-supervisors-of-protective-service-workers-all-other,protective-service-occupations,96,716,73,788,23,-,2011
Firefighters,firefighters,protective-service-occupations,291,"1,000",281,998,11,-,2011
Fire inspectors,fire-inspectors,protective-service-occupations,18,-,17,-,1,-,2011
"Bailiffs, correctional officers, and jailers",bailiffs-correctional-officers-and-jailers,protective-service-occupations,436,682,320,722,116,586,2011
Detectives and criminal investigators,detectives-and-criminal-investigators,protective-service-occupations,147,"1,154",125,"1,192",22,-,2011
Fish and game wardens,fish-and-game-wardens,protective-service-occupations,5,-,5,-,1,-,2011
Parking enforcement workers,parking-enforcement-workers,protective-service-occupations,5,-,3,-,2,-,2011
Police and sheriff's patrol officers,police-and-sheriffs-patrol-officers,protective-service-occupations,653,947,578,948,75,938,2011
Transit and railroad police,transit-and-railroad-police,protective-service-occupations,7,-,7,-,0,-,2011
Animal control workers,animal-control-workers,protective-service-occupations,8,-,5,-,4,-,2011
Private detectives and investigators,private-detectives-and-investigators,protective-service-occupations,86,869,56,891,30,-,2011
Security guards and gaming surveillance officers,security-guards-and-gaming-surveillance-officers,protective-service-occupations,775,519,619,544,156,474,2011
Crossing guards,crossing-guards,protective-service-occupations,23,-,15,-,8,-,2011
Transportation security screeners,transportation-security-screeners,protective-service-occupations,21,-,12,-,10,-,2011
"Lifeguards and other recreational, and all other protective service workers",lifeguards-and-other-recreational-and-all-other-protective-service-workers,protective-service-occupations,44,-,21,-,23,-,2011
Food preparation and serving related occupations,food-preparation-and-serving-related-occupations,service-occupations,"3,930",409,"2,021",429,"1,909",390,2011
Chefs and head cooks,chefs-and-head-cooks,food-preparation-and-serving-related-occupations,299,580,245,601,53,502,2011
First-line supervisors of food preparation and serving workers,first-line-supervisors-of-food-preparation-and-serving-workers,food-preparation-and-serving-related-occupations,378,485,158,525,220,458,2011
Cooks,cooks,food-preparation-and-serving-related-occupations,"1,210",390,761,406,449,363,2011
Food preparation workers,food-preparation-workers,food-preparation-and-serving-related-occupations,357,384,155,395,202,375,2011
Bartenders,bartenders,food-preparation-and-serving-related-occupations,210,545,104,593,106,505,2011
"Combined food preparation and serving workers, including fast food",combined-food-preparation-and-serving-workers-including-fast-food,food-preparation-and-serving-related-occupations,161,387,46,-,114,385,2011
"Counter attendants, cafeteria, food concession, and coffee shop",counter-attendants-cafeteria-food-concession-and-coffee-shop,food-preparation-and-serving-related-occupations,58,323,26,-,32,-,2011
Waiters and waitresses,waiters-and-waitresses,food-preparation-and-serving-related-occupations,872,407,313,466,559,389,2011
"Food servers, nonrestaurant",food-servers-nonrestaurant,food-preparation-and-serving-related-occupations,84,419,31,-,52,393,2011
Dining room and cafeteria attendants and bartender helpers,dining-room-and-cafeteria-attendants-and-bartender-helpers,food-preparation-and-serving-related-occupations,119,383,77,392,42,-,2011
Dishwashers,dishwashers,food-preparation-and-serving-related-occupations,118,332,90,321,28,-,2011
"Hosts and hostesses, restaurant, lounge, and coffee shop",hosts-and-hostesses-restaurant-lounge-and-coffee-shop,food-preparation-and-serving-related-occupations,62,369,10,-,52,356,2011
"Food preparation and serving related workers, all other",food-preparation-and-serving-related-workers-all-other,food-preparation-and-serving-related-occupations,4,-,4,-,0,-,2011
Building and grounds cleaning and maintenance occupations,building-and-grounds-cleaning-and-maintenance-occupations,service-occupations,"3,339",465,"2,212",502,"1,128",406,2011
First-line supervisors of housekeeping and janitorial workers,first-line-supervisors-of-housekeeping-and-janitorial-workers,building-and-grounds-cleaning-and-maintenance-occupations,179,646,113,756,67,488,2011
